date,domestic violence help,abuse hotline,women's shelter,emotional abuse,teen dating violence,isPartial
2019-01-01,11,48,93,81,7,False
2019-02-01,11,39,83,100,13,False
2019-03-01,10,40,86,93,4,False
2019-04-01,12,43,80,84,4,False
2019-05-01,12,42,87,84,4,False
2019-06-01,10,38,87,84,2,False
2019-07-01,10,36,94,83,2,False
2019-08-01,10,38,87,76,2,False
2019-09-01,11,41,85,85,3,False
2019-10-01,13,40,85,84,5,False
2019-11-01,11,38,85,84,4,False
2019-12-01,10,37,97,85,3,False
2020-01-01,10,36,91,85,6,False
2020-02-01,10,37,78,91,12,False
2020-03-01,9,39,70,73,3,False
2020-04-01,12,38,54,72,3,False
2020-05-01,10,36,57,77,3,False
2020-06-01,11,36,68,76,2,False
2020-07-01,11,40,68,80,2,False
2020-08-01,10,38,71,75,1,False
2020-09-01,11,39,67,73,2,False
2020-10-01,14,37,75,84,3,False
2020-11-01,12,31,75,72,1,False
2020-12-01,11,32,83,78,2,False
2021-01-01,8,31,76,70,4,False
2021-02-01,12,33,73,77,9,False
2021-03-01,11,36,71,78,2,False
2021-04-01,10,38,67,74,2,False
2021-05-01,12,37,74,77,2,False
2021-06-01,11,37,74,73,1,False
2021-07-01,11,34,74,72,1,False
2021-08-01,11,37,76,73,1,False
2021-09-01,13,36,78,76,2,False
2021-10-01,17,39,95,96,2,False
2021-11-01,16,36,91,85,2,False
2021-12-01,12,32,88,82,2,False
2022-01-01,13,33,85,84,6,False
2022-02-01,15,36,79,89,11,False
2022-03-01,13,37,80,83,3,False
2022-04-01,15,41,75,95,5,False
2022-05-01,16,40,69,82,4,False
2022-06-01,15,36,80,84,2,False
2022-07-01,14,38,85,83,2,False
2022-08-01,13,39,83,75,1,False
2022-09-01,15,37,80,80,3,False
2022-10-01,16,40,74,84,4,False
2022-11-01,15,35,82,90,4,False
2022-12-01,15,34,88,79,3,False
2023-01-01,12,34,80,82,7,False
2023-02-01,13,38,76,85,12,False
2023-03-01,14,35,75,83,5,False
2023-04-01,15,36,76,85,4,False
2023-05-01,15,38,71,88,3,False
2023-06-01,13,35,73,88,2,False
2023-07-01,13,33,75,78,2,False
2023-08-01,15,36,76,74,2,False
2023-09-01,14,35,72,79,3,False
2023-10-01,18,37,77,86,4,False
2023-11-01,15,35,73,95,4,False
2023-12-01,14,34,72,76,3,False
2024-01-01,14,33,70,75,8,False
2024-02-01,14,40,63,82,13,False
2024-03-01,14,35,63,76,4,False
2024-04-01,16,37,64,83,4,False
2024-05-01,15,38,61,79,3,False
2024-06-01,13,33,62,76,2,False
2024-07-01,14,32,68,71,2,False
2024-08-01,13,36,67,80,1,False
2024-09-01,16,37,63,84,3,False
2024-10-01,16,37,67,83,4,False
2024-11-01,14,32,71,93,4,False
2024-12-01,15,31,68,79,4,False
2025-01-01,14,30,67,74,7,False
2025-02-01,16,34,57,82,11,False
2025-03-01,14,32,63,88,4,False
2025-04-01,16,34,61,85,4,False
2025-05-01,15,32,61,82,3,False
2025-06-01,14,31,61,83,2,False
2025-07-01,15,34,65,97,2,False
2025-08-01,16,36,60,82,2,False
2025-09-01,19,34,57,83,3,False
2025-10-01,17,36,62,91,4,False
2025-11-01,21,33,72,91,4,False
2025-12-01,21,34,71,88,4,False
